,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix
Random Forest,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9626596790042581,"[[69  2]
 [ 2 41]]"
Gradient Boosting,0.9473684210526315,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9439895185063871,"[[68  3]
 [ 3 40]]"
PLS Regression,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9697019325253848,"[[70  1]
 [ 2 41]]"
Neural Network,0.9912280701754386,1.0,0.9767441860465116,0.9882352941176471,0.9883720930232558,"[[71  0]
 [ 1 42]]"
